id,mis_month,total_zaimu,マネジメント資質,ヴァイタリティ,人あたり,チームワーク,創造的思考力,問題解決力,状況適応力,プレッシャーへの耐力,オーガナイズ能力,統率力,営業Ⅰ,営業Ⅱ,スタッフ,一般事務,エンジニア,研究開発,接客／店頭販売／コールセンター,言語標準点,計数標準点,説得力,指導力,独自性,外向性,友好性,社会性,謙虚さ,協議性,面倒み,具体的事物,データ,美的価値,人間,オーソドックス,変化志向,概念性,創造的,計画性,緻密,几帳面,余裕,心配性,タフ,抑制,楽観的,批判的,行動力,競争性,上昇志向,entry,function,total_zaimu_ins,total_zaimu_mf,total_zaimu_pd,total_zaimu_sib,total_zaimu_ttb,total_zaimu_tts,total_zaimu_xcy,avg_total_zaimu,avg_total_zaimu_ins,avg_total_zaimu_mf,avg_total_zaimu_pd,avg_total_zaimu_sib,avg_total_zaimu_ttb,avg_total_zaimu_tts,avg_total_zaimu_xcy,std_total_zaimu,std_total_zaimu_ins,std_total_zaimu_mf,std_total_zaimu_pd,std_total_zaimu_sib,std_total_zaimu_ttb,std_total_zaimu_tts,std_total_zaimu_xcy,dv_total_zaimu,dv_total_zaimu_ins,dv_total_zaimu_mf,dv_total_zaimu_pd,dv_total_zaimu_sib,dv_total_zaimu_ttb,dv_total_zaimu_tts,dv_total_zaimu_xcy
0C1319,1609,1186005.833,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,622342.3109,329926.8519,105579.67,66900,25656,35601,,2100333.562,1909868.709,557935.8932,350360.0474,247843.9982,34377.92857,111264.4125,38722.5,1620887.778,1630725.057,394952.5714,281192.6649,427880.734,46550.12725,101446.9802,136793.4462,44.35909295,42.10457708,44.22692602,41.29492309,45.77115809,48.12633626,42.5415806,
0C1319,1610,384657.9336,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,195905.5556,174584.378,,12718,1450,,1613254.495,1740924.634,438918.357,204049.0952,70735.05,60777.80328,71980.30588,20966.825,1352738.205,1418553.065,439574.8841,160084.3135,74440.37352,77775.62819,137202.4356,21744.10055,40.91770634,,44.47164044,48.15942508,,43.82071166,44.85939841,
0C1319,1611,848613.3215,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,,199080.1215,31268.2,464393,153872,,1907813.756,1863712.633,438472.6984,261990.9501,53544.95,228550,50102.37209,25246.14894,1362733.922,1251543.725,409790.3507,224827.9925,35670.05203,261275.4076,119320.8149,61211.82894,42.2273863,,,47.20182403,43.75477502,59.02660538,58.69669119,
0C1319,1612,750107.2455,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,,285187.2455,,463232,1688,,3044308.013,2351523.389,674918.0613,346991.5456,121548.4281,264380.0109,72165.84706,30383.07692,1986775.744,1859374.559,593269.0241,288847.7455,207240.4041,229225.2799,155791.824,44304.16739,38.45264356,,,47.86031565,,58.67495894,45.47615239,
0C1319,1701,860693.2464,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,2. CE,,108220.3704,519820.876,,179462,53190,,2577768.052,2110129.678,719575.4112,296106.2555,195970.4182,139527.4,69322.93814,27783.63462,1885578.406,1766372.418,636298.5163,258809.2076,379265.0112,157001.5222,109561.31,53365.01387,40.8936441,,40.39200902,58.64399774,,52.54358043,48.52749678,
0C1319,1702,766721.5615,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,2. GE,,300000,421372.5615,,38283,7066,,3109659.206,3025269.24,1065823.681,254356.4557,108999.6395,98329.4321,110589.3656,18492.55102,3011623.884,3474491.022,778172.3446,240085.4483,128802.4354,153653.1744,126717.253,34732.3405,42.2203511,,40.15868803,56.95652764,,46.09207995,41.83036539,
0C1319,1703,964731.4395,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,2. GE,,474818.5185,304806.921,,71,170419,14616,3580236.129,2376704.719,1459937.427,304270.1888,239191.2781,91648.52326,193336.2772,22924.37681,2190141.312,1849683.258,837265.9534,288383.982,555703.6351,147306.512,159517.5603,32177.98205,38.05782679,,38.23409809,50.01861172,,43.78319926,48.56333828,47.41799321
0C1321,1502,95432,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Enabler,,,95432,,,,,1293146.461,1829650.309,481333,82528.80703,,15827,94425,,1693824.035,,,18247.8705,,,,,42.92893219,,,57.07106781,,,,
0C1321,1503,256957.8855,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Enabler,,,255694.8855,,1263,,,627874.6023,755654.7339,150286,170127.2354,,1263,8291,,524555.4515,,,121010.9312,,,,,42.92893219,,,57.07106781,,,,
0C1321,1504,289024.5898,9,4,7,7,5,9,4,4,9,7,5,8,10,7,9,5,5,6,9,8,7,5,5,6,7,3,7,8,5,8,3,3,3,2,9,4,8,8,10,5,6,4,5,2,7,3,7,4,2011,Enabler,,,289024.5898,,,,,152016.4652,,49728,177012.1978,,2569,,,119643.155,,26049.81382,158409.444,,,,,61.45139683,,,57.07106781,,,,
